,id,created_at,tweet_clean,sentiment,sentiment_category
0,849636868052275200,2017-04-05 14:56:29,' And so the humanity ...,0.0,neutral
1,848988730585096192,2017-04-03 20:01:01,""" 5 Exactly . is absurdly if based on the past , but that ' s \ xe2 \ x80 \ xa6",0.0,neutral
2,848943072423497728,2017-04-03 16:59:35,"' 5 tu , Walt ?'",0.0,neutral
3,848935705057280001,2017-04-03 16:30:19,' Stormy weather in ...',0.0,neutral
4,848416049573658624,2017-04-02 06:05:23,""" Coal is dying due to nat gas . It ' s basically dead .""",-0.6486,negative
5,848415731502923777,2017-04-02 06:04:07,""" It ' s just a helicopter in helicopter ' s clothing """,0.0,neutral
6,848415356263702528,2017-04-02 06:02:38,""" It won ' t matter """,0.5859,positive
7,848398971139629057,2017-04-02 04:57:31,' Pretty good ',0.7269,positive
8,848244577521647616,2017-04-01 18:44:01,""" Why did we waste so much time silly ? Damn you , ! So obtuse ! You have all this crazy tech , but can ' t speak !?""",-0.6887,negative
9,848243350993895424,2017-04-01 18:39:09,' Technology breakthrough : turns out are actually a message from time - traveling the secret of ',0.0,neutral
10,848239928043491328,2017-04-01 18:25:33,""" : We ' the world ' s first - AI trained entirely in simulation and on a physical robot :",0.0,neutral
11,848239664536223745,2017-04-01 18:24:30,' : This is extremely important from and - bring us MUCH closer to becoming a \ xe2 \ x80 \ xa6 ',0.2716,positive
12,848036043240636417,2017-04-01 04:55:23,"' P100D with Ludicrous +, although the rocket going a lot faster after that '",-0.3612,negative
13,847958571895619584,2017-03-31 23:47:32,' We can bring it back like Dragon . Just a question of how much weight we need to add .',0.3612,positive
14,847890916048338946,2017-03-31 19:18:42,' addict Working on it ',0.0,neutral
15,847884776719740928,2017-03-31 18:54:18,""" like it could do 20 % more with some structural to handle higher . But that ' s in fully expendable mode .""",0.1901,positive
16,847884413706874880,2017-03-31 18:52:51,' A lot ',0.0,neutral
17,847884351375372288,2017-03-31 18:52:36,' thing we can imagine ! Secret of 1st Dragon flight was a giant wheel of cheese . Inspired b \ xe2 \ x80 \ xa6,0.5411,positive
18,847883435100299267,2017-03-31 18:48:58,"' Good point , odds go from 0 % to & ; 0 % :)'",0.4404,positive
19,847882909906341888,2017-03-31 18:46:53,' Falcon Heavy test flight currently for late summer ',0.0,neutral
20,847882289581359104,2017-03-31 18:44:25,"' Considering trying to bring upper stage back on Falcon Heavy flight for full . Odds of success low , but maybe worth a shot .'",0.4854,positive
21,847881536254955521,2017-03-31 18:41:25,' Browser is already a little better . Kernel and browser update in prob 6 or so ( lots of \ xe2 \ x80 \ xa6,0.3832,positive
22,847610880506208257,2017-03-31 00:45:56,' : More from today \ xe2 \ x80 \ x99s Falcon 9 launch and first stage landing \ xe2 \ x86 \ x92,0.0,neutral
23,847608431582208000,2017-03-31 00:36:12,' Thanks !',0.4926,positive
24,847594208219336705,2017-03-30 23:39:41,' Incredibly of the team for this milestone in space ! Next goal is within 24 .',0.0,neutral
25,847580067446345728,2017-03-30 22:43:30,' : Falcon 9 first stage landed on Of Course I Still Love You \ xe2 \ x80 \ x94 world \ xe2 \ x80 \ x99s first of an orbital class rocket .',0.6369,positive
26,847561780532523008,2017-03-30 21:30:50,' : ~ 60 until launch window for - 10 . All and weather are go . Watch here \ xe2 \ x86 \ x92,0.0,neutral
27,847510437054877698,2017-03-30 18:06:48,"' : Falcon 9 and - 10 vertical on Space Center \ xe2 \ x80 \ x99s historic Pad 39A . Launch window at 6 : 27pm , 10 : 27pm . :\ xe2 \ x80 \ xa6 '",-0.3182,negative
28,847259545755820033,2017-03-30 01:29:51,' Made today on sketch pad,0.0,neutral
29,847234747747020800,2017-03-29 23:51:19,"' If you just V8 . 1 , tap the the T on center screen three times '",0.0,neutral
30,847178475970547712,2017-03-29 20:07:43,"' On center screen . Also , center screen * will * show speed as an overlay that opacity according to relevance .'",0.0,neutral
31,846772378067648513,2017-03-28 17:14:01,' Very few . We have yet to do a China ( or ) launch of Model 3 .',0.0,neutral
32,846770102502473728,2017-03-28 17:04:59,' Glad to have as an investor and advisor to ',0.4588,positive
33,846768497904369664,2017-03-28 16:58:36,' No ',-0.296,negative
34,846768171486855169,2017-03-28 16:57:18,""" You won ' t care """,0.7845,positive
35,846668569576259584,2017-03-28 10:21:31,' What gave me away ?',0.0,neutral
36,846668345998925826,2017-03-28 10:20:38,' No ',-0.296,negative
37,846667837716410368,2017-03-28 10:18:37,' Here is the latest travel ad for the flight around the moon & ; into deep space . Maybe needs a few ...,0.0,neutral
38,846580443797368832,2017-03-28 04:31:21,"' Long piece coming out on in about a week . Difficult to dedicate the time , but existential risk is too high not to .'",-0.5267,negative
39,845447146111303681,2017-03-25 01:28:01,""" : New research release : many of Reinforcement Learning ' s with Evolution :",0.0,neutral
40,845403535353143299,2017-03-24 22:34:44,' We cannot make all country simultaneously or the production start would be a disaster . You would get first in .',-0.6249,negative
41,845402066629517312,2017-03-24 22:28:54,' Kent Yes ',0.4019,positive
42,845370779298521088,2017-03-24 20:24:34,' Yes ',0.4019,positive
43,845355766357737472,2017-03-24 19:24:55,' I believe so ',0.0,neutral
44,845337811876114432,2017-03-24 18:13:34,' ',0.0,neutral
45,845331893176324096,2017-03-24 17:50:03,' Ewe Guy Oh so little faith ',0.4186,positive
46,845325721455149056,2017-03-24 17:25:32,' The shorter only for a 75 pack in Model 3 at current cell / module energy ',0.2732,positive
47,845294849049870337,2017-03-24 15:22:51,"' : I \' m so unbelievably happy with my Model S . When people ask if l like it I respond "" No , I love it ! \ xf0 \ x9f \ x98 \ x8d it \' s amazing !\ xe2 \ x80 \ xa6 '",0.9344,positive
48,845294411072204801,2017-03-24 15:21:07,"' Way : Our 85 hit the at well over 160km / h . absorbed impact , wife and baby are . Best car ever & ; Member o \ xe2 \ x80 \ xa6 '",0.743,positive
49,845294161125269505,2017-03-24 15:20:07,' Yeah ',0.296,positive
50,845293825715154945,2017-03-24 15:18:47,' Start taking in ',0.0,neutral
51,845293157977767937,2017-03-24 15:16:08,"' Yeah , probably a year from now . S will still win on acceleration though , due to more space for a battery .'",0.7184,positive
